Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value
D'Ernest Johnson,RB,CLE,@BAL,4000,0,-7.08,12,4.89
Qadree Ollison,RB,ATL,SEA,4000,0,-7.08,12,4.9
Tyler Ervin,RB,GB,@MIN,4000,0,-7.08,12.4,5.28
Andy Janovich,RB,CLE,@BAL,4000,0,-7.08,12.1,5.03
Darwin Thompson,RB,KC,HOU,4000,0,-7.08,13,5.96
Eno Benjamin,RB,ARI,@SF,4000,0,-7.08,12.5,5.4
La'Mical Perine,RB,NYJ,@BUF,4000,0,-7.08,13.3,6.23
Mike Boone,RB,MIN,GB,4000,0,-7.08,13.7,6.64
Jeff Wilson,RB,SF,ARI,4000,0,-7.08,11.8,4.72
Myles Gaskin,RB,MIA,@NE,4000,0,-7.08,11.8,4.72
Alec Ingold,RB,LV,@CAR,4000,0,-7.08,12.4,5.36
Anthony McFarland,RB,PIT,@NYG,4000,0,-7.08,15.4,8.35
Brian Hill,RB,ATL,SEA,4000,0,-7.08,16.7,9.59
DeeJay Dallas,RB,SEA,@ATL,4000,0,-7.08,13,5.87
Parris Campbell,WR,IND,@JAX,3900,0.7,-6.94,19.6,11.89
Dawson Knox,TE,BUF,NYJ,3900,0.1,-6.97,15.4,8.29
J.J. Arcega-Whiteside,WR,PHI,@WAS,3900,0,-7.68,16.3,8.59
Marvin Hall,WR,DET,CHI,3900,0,-7.68,12.2,4.55
Jakeem Grant,WR,MIA,@NE,3900,0,-7.68,15.9,8.24
Joe Reed,WR,LAC,@CIN,3900,0,-7.68,15.9,8.19
Josh Reynolds,WR,LAR,DAL,3900,0,-7.68,14.5,6.86
Trent Taylor,WR,SF,ARI,3900,0,-7.68,11.5,3.83
Pittsburgh Steelers,DEF,PIT,@NYG,3900,2.2,-7.79,12.7,2.77
Jimmy Graham,TE,CHI,@DET,3800,0.5,-6.42,15.8,8.87
C.J. Uzomah,TE,CIN,LAC,3800,0.4,-6.53,15.4,8.45
Tajae Sharpe,WR,MIN,GB,3800,0,-7.49,13.1,5.57
Keelan Cole,WR,JAX,IND,3800,0,-7.49,12.9,5.46
Seth Roberts,WR,CAR,LV,3800,0,-7.49,13.8,6.34
Nelson Agholor,WR,LV,@CAR,3800,0,-7.49,13.8,6.34
Justin Watson,WR,TB,@NO,3800,0,-7.49,12.9,5.38
Auden Tate,WR,CIN,LAC,3800,0,-7.49,14.2,6.7
Jeremy Sprinkle,TE,WAS,PHI,3800,0,-6.92,14.4,7.45
O.J. Howard,TE,TB,@NO,3700,0.3,-6.45,15.6,8.83
Ted Ginn,WR,CHI,@DET,3700,0,-7.29,11.5,4.22
Dante Pettis,WR,SF,ARI,3700,0,-7.29,13.1,5.84
Donovan Peoples-Jones,WR,CLE,@BAL,3700,0,-7.29,12.6,5.32
Vyncint Smith,WR,NYJ,@BUF,3700,0,-7.29,13,5.67
Buffalo Bills,DEF,BUF,NYJ,3700,2.6,-6.8,15.5,6.1
Jack Doyle,TE,IND,@JAX,3600,1.1,-5.4,17.2,10.62
Jace Sternberger,TE,GB,@MIN,3600,0.4,-6.16,15.5,8.95
Alex Erickson,WR,CIN,LAC,3600,0,-7.09,14.3,7.24
David Moore,WR,SEA,@ATL,3600,0,-7.09,15.3,8.21
Andy Isabella,WR,ARI,@SF,3600,0,-7.09,13.5,6.37
David Njoku,TE,CLE,@BAL,3600,0,-6.55,13,6.43
Isaiah McKenzie,WR,BUF,NYJ,3600,0,-7.09,12.4,5.35
Tim Patrick,WR,DEN,TEN,3600,0,-7.09,16.2,9.12
Isaiah Ford,WR,MIA,@NE,3600,0,-7.09,15.7,8.61
Philadelphia Eagles,DEF,PHI,@WAS,3600,2.2,-6.94,13.2,4.04
Dan Arnold,TE,ARI,@SF,3500,0,-6.36,15,8.62
Equanimeous St. Brown,WR,GB,@MIN,3500,0,-6.9,12.8,5.91
Zay Jones,WR,LV,@CAR,3500,0,-6.9,12.3,5.45
Jakobi Meyers,WR,NE,MIA,3500,0,-6.9,13.4,6.51
Chad Beebe,WR,MIN,GB,3500,0,-6.9,12,5.14
San Francisco 49ers,DEF,SF,ARI,3500,2.2,-6.76,12.7,3.81
Cordarrelle Patterson,WR,CHI,@DET,3400,1.8,-4.89,16.7,9.96
Will Dissly,TE,SEA,@ATL,3400,0.7,-5.45,16.2,10.03
Ian Thomas,TE,CAR,LV,3400,0.6,-5.64,16.5,10.34
Chris Hogan,WR,NYJ,@BUF,3400,0,-6.7,15.1,8.43
Tyler Johnson,WR,TB,@NO,3400,0,-6.7,12.1,5.37
Dontrelle Inman,WR,WAS,PHI,3400,0,-6.7,15.4,8.73
